Temp. level:    1.000     Acceptance ratio:    0.880     Current cost:       15.180
Temp. level:    0.850     Acceptance ratio:    0.710     Current cost:       16.690
Temp. level:    0.722     Acceptance ratio:    0.710     Current cost:       14.533
Temp. level:    0.614     Acceptance ratio:    0.710     Current cost:        9.604
Temp. level:    0.522     Acceptance ratio:    0.610     Current cost:       12.920
Temp. level:    0.444     Acceptance ratio:    0.410     Current cost:       13.646
Temp. level:    0.377     Acceptance ratio:    0.360     Current cost:       10.868
Temp. level:    0.321     Acceptance ratio:    0.130     Current cost:        6.403
Temp. level:    0.272     Acceptance ratio:    0.040     Current cost:        8.291
Temp. level:    0.232     Acceptance ratio:    0.060     Current cost:        7.684
Temp. level:    0.197     Acceptance ratio:    0.030     Current cost:        5.980
Temp. level:    0.167     Acceptance ratio:    0.040     Current cost:        4.590
Temp. level:    0.142     Acceptance ratio:    0.010     Current cost:        4.279
Temp. level:    0.121     Acceptance ratio:    0.030     Current cost:        4.140
Temp. level:    0.103     Acceptance ratio:    0.010     Current cost:        4.107
Temp. level:    0.087     Acceptance ratio:    0.000     Current cost:        4.107
Temp. level:    0.074     Acceptance ratio:    0.040     Current cost:        3.484
Temp. level:    0.063     Acceptance ratio:    0.020     Current cost:        3.300
Temp. level:    0.054     Acceptance ratio:    0.050     Current cost:        3.243
Temp. level:    0.046     Acceptance ratio:    0.000     Current cost:        3.243
Temp. level:    0.039     Acceptance ratio:    0.010     Current cost:        3.218
Temp. level:    0.033     Acceptance ratio:    0.030     Current cost:        2.885
Temp. level:    0.028     Acceptance ratio:    0.020     Current cost:        2.325
Temp. level:    0.024     Acceptance ratio:    0.000     Current cost:        2.325
Temp. level:    0.020     Acceptance ratio:    0.000     Current cost:        2.325
Temp. level:    0.017     Acceptance ratio:    0.000     Current cost:        2.325
Temp. level:    0.015     Acceptance ratio:    0.000     Current cost:        2.325
Temp. level:    0.012     Acceptance ratio:    0.000     Current cost:        2.325
Temp. level:    0.011     Acceptance ratio:    0.000     Current cost:        2.325
Temp. level:    0.009     Acceptance ratio:    0.000     Current cost:        2.325
sectors ABAA0002 on ch 21,Leban21  on ch 21, cost =0.020
sectors ABAA0002 on ch 21,Rodgers1 on ch 21, cost =0.035
sectors ABAA0002 on ch **,Talbot3  on ch **, cost =0.044
sectors ABAA0002 on ch 21,WardB1   on ch 20, cost =0.003
sectors ABAB0001 on ch 53,Albany12 on ch 53, cost =0.005
sectors ABAB0001 on ch 53,CedarB1  on ch 53, cost =0.006
sectors ABAB0001 on ch **,Hatch1   on ch **, cost =0.010
sectors ABAB0001 on ch 15,Tuisa    on ch 15, cost =0.046
sectors Albany11 on ch 25,RadioTow on ch 25, cost =0.009
sectors Albany11 on ch 58,RogersM2 on ch 58, cost =0.048
sectors Albany11 on ch 25,StatePar on ch 25, cost =0.006
sectors Albany12 on ch 73,ABAA0001 on ch 73, cost =0.010
sectors Albany12 on ch 53,ABAB0001 on ch 53, cost =0.036
sectors Albany12 on ch 53,Albany42 on ch 53, cost =0.041
sectors Albany12 on ch 53,CedarB1  on ch 53, cost =0.032
sectors Albany12 on ch 10,Leban11  on ch 10, cost =0.041
sectors Albany12 on ch 10,Rodgers1 on ch 10, cost =0.045
sectors Albany13 on ch **,GravelP2 on ch **, cost =0.015
sectors Albany13 on ch 80,StatePar on ch 80, cost =0.010
sectors Albany13 on ch **,Tangent1 on ch **, cost =0.004
sectors Albany21 on ch **,GravelP1 on ch **, cost =0.005
sectors Albany23 on ch 20,ABAA0002 on ch 21, cost =0.003
sectors Albany23 on ch  5,Leban11  on ch  5, cost =0.018
sectors Albany23 on ch 20,Neal     on ch 20, cost =0.034
sectors Albany23 on ch 20,WardB1   on ch 20, cost =0.037
sectors Albany31 on ch 29,Albany42 on ch 29, cost =0.005
sectors Albany31 on ch **,Rodgers1 on ch **, cost =0.010
sectors Albany32 on ch **,ABAB0001 on ch **, cost =0.002
sectors Albany32 on ch 34,FernRidg on ch 34, cost =0.020
sectors Albany32 on ch **,GravelP1 on ch **, cost =0.002
sectors Albany32 on ch **,Leban12  on ch **, cost =0.013
sectors Albany41 on ch 97,Albany51 on ch 97, cost =0.040
sectors Albany41 on ch  8,FernRidg on ch  8, cost =0.038
sectors Albany41 on ch 97,ABAC0001 on ch 97, cost =0.061
sectors Albany41 on ch  8,RoundMT3 on ch  8, cost =0.059
sectors Albany42 on ch 53,ABAB0001 on ch 53, cost =0.005
sectors Albany42 on ch 53,Albany12 on ch 53, cost =0.011
sectors Albany42 on ch 29,Albany31 on ch 29, cost =0.013
sectors Albany42 on ch 29,Leban12  on ch 29, cost =0.005
sectors Albany51 on ch 97,Albany41 on ch 97, cost =0.048
sectors Albany51 on ch 97,ABAC0001 on ch 97, cost =0.051
sectors BaldPete on ch 10,Albany12 on ch 10, cost =0.007
sectors BaldPete on ch 10,Leban11  on ch 10, cost =0.002
sectors BaldPete on ch 10,Rodgers1 on ch 10, cost =0.020
sectors BaldPete on ch 10,WardB2   on ch 10, cost =0.015
sectors BarnetKn on ch 63,CedarB1  on ch 63, cost =0.023
sectors CedarB1  on ch 53,ABAB0001 on ch 53, cost =0.012
sectors CedarB1  on ch 53,Albany12 on ch 53, cost =0.006
sectors CedarB1  on ch 53,Albany42 on ch 53, cost =0.004
sectors CedarB1  on ch 63,BarnetKn on ch 63, cost =0.020
sectors CedarB2  on ch 87,SweetHom on ch 87, cost =0.004
sectors FernRidg on ch  8,Albany41 on ch  8, cost =0.002
sectors FernRidg on ch 34,RoundMT1 on ch 34, cost =0.054
sectors FernRidg on ch  8,RoundMT3 on ch  8, cost =0.002
sectors GravelP2 on ch **,Microwav on ch **, cost =0.023
sectors GravelP3 on ch 24,Hatch1   on ch 24, cost =0.014
sectors Hatch1   on ch **,ABAB0001 on ch **, cost =0.021
sectors Hatch1   on ch 24,GravelP3 on ch 24, cost =0.043
