study index3
Site ID   Ant. Elev. AMSL (m )  Frequency (MHz)  ERPi(dbW) Orient./Pol.  Group  Coordinates
--------  --------------------  ---------------  ----------  ------------  -----  ---------------------------
ABAA0004                 236.0        960.00000        8.40    Use file-vertical      1  N44°39'14.97" W123°00'59.99"
ABAB0001                 619.9        960.00000       19.40    Use file-vertical      1  N44°26'06.36" W122°53'05.42"
ABAB0002                 619.9        960.00000       19.40    Use file-vertical      1  N44°26'06.36" W122°53'05.42"
ABAB0003                 619.9        960.00000       19.40    Use file-vertical      1  N44°26'06.36" W122°53'05.42"
ABAC0001                 825.5        960.00000       19.40    Use file-vertical      1  N44°33'59.26" W122°38'46.21"
ABAC0002                 825.5        960.00000       19.40    Use file-vertical      1  N44°33'59.26" W122°38'46.21"
ABAC0003                 825.5        960.00000       19.40    Use file-vertical      1  N44°33'59.26" W122°38'46.21"
ABAD0001                 397.1        960.00000       10.40    Use file-vertical      1  N44°31'37.06" W122°52'29.93"
ABAD0003                 397.1        960.00000       10.40    Use file-vertical      1  N44°31'37.06" W122°52'29.93"
ABAE0001                 129.9        960.00000        9.40    Use file-vertical      1  N44°32'44.32" W122°55'58.80"
ABAF0002                 275.0        960.00000       18.00    Use file-vertical      1  N44°40'29.75" W122°46'53.03"
ABAG0003                 884.3        960.00000       19.40    Use file-vertical      1  N44°32'03.07" W122°37'18.16"
ABAH0001                  91.2        960.00000        6.90    Use file-vertical      1  N44°37'40.87" W123°07'30.20"
ABAH0002                  91.2        960.00000        6.90    Use file-vertical      1  N44°37'40.87" W123°07'30.20"
ABAJ0002                1124.5        960.00000       18.00    Use file-vertical      1  N44°29'50.75" W122°35'13.65"
ABAK0002                 474.5        960.00000       15.00    Use file-vertical      1  N44°49'11.79" W122°41'18.34"
ABAL0001                  98.2        960.00000        6.90    Use file-vertical      1  N44°38'37.53" W123°04'07.95"
ABAL0002                  98.2        960.00000        6.90    Use file-vertical      1  N44°38'37.53" W123°04'07.95"
ABAL0003                  98.2        960.00000        6.90    Use file-vertical      1  N44°38'37.53" W123°04'07.95"
ABAM0001                 101.3        960.00000        6.90    Use file-vertical      1  N44°37'16.56" W123°05'28.50"
ABAM0002                 101.3        960.00000        6.90    Use file-vertical      1  N44°37'16.56" W123°05'28.50"
ABAM0003                 101.3        960.00000        6.90    Use file-vertical      1  N44°37'16.56" W123°05'28.50"
ABAN0001                  94.3        960.00000        7.40    Use file-vertical      1  N44°36'13.65" W123°06'51.22"
ABAO0001                 565.2        960.00000       27.00    Use file-vertical      1  N44°42'03.02" W122°38'28.74"
ABAP0001                  84.5        960.00000       18.00    Use file-vertical      1  N44°49'57.16" W123°12'14.42"
ABAQ0001                 103.0        960.00000        6.90    Use file-vertical      1  N44°36'16.65" W123°03'59.99"
ABAQ0002                 103.0        960.00000        6.90    Use file-vertical      1  N44°36'16.65" W123°03'59.99"
ABAR0001                 355.7        960.00000        8.40    Use file-vertical      1  N44°30'22.85" W122°57'25.12"
ABAS0001                 283.6        960.00000       18.00    Use file-vertical      1  N44°49'29.19" W123°03'41.89"
ABAT0001                 107.3        960.00000       19.40    Use file-vertical      1  N44°28'51.12" W123°06'27.90"
ABAT0002                 107.3        960.00000       19.40    Use file-vertical      1  N44°28'51.12" W123°06'27.90"
ABAT0003                 107.3        960.00000       19.40    Use file-vertical      1  N44°28'51.12" W123°06'27.90"
ABAT0004                 107.3        960.00000       19.40    Use file-vertical      1  N44°28'51.12" W123°06'27.90"
ABAU0001                 510.0        960.00000       18.00    Use file-vertical      1  N44°25'11.18" W122°35'35.93"
ABAU0002                 510.0        960.00000        7.00    Use file-vertical      1  N44°25'11.18" W122°35'35.93"
ABAV0001                  86.8        960.00000       19.40    Use file-vertical      1  N44°44'18.33" W123°04'50.62"
ABAV0002                  86.8        960.00000       19.40    Use file-vertical      1  N44°44'18.33" W123°04'50.62"
ABAV0003                  86.8        960.00000       19.40    Use file-vertical      1  N44°44'18.33" W123°04'50.62"
ABAV0004                  86.8        960.00000       19.40    Use file-vertical      1  N44°44'18.33" W123°04'50.62"
ABAW0001                 146.6        960.00000       19.40    Use file-vertical      1  N44°46'44.11" W122°52'16.66"
ABAW0002                 146.6        960.00000       19.40    Use file-vertical      1  N44°46'44.11" W122°52'16.66"
ABAW0003                 146.6        960.00000       19.40    Use file-vertical      1  N44°46'44.11" W122°52'16.66"
ABAW0004                 146.6        960.00000       19.40    Use file-vertical      1  N44°46'44.11" W122°52'16.66"
ABAX0001                 202.6        960.00000       19.40    Use file-vertical      1  N44°39'11.91" W123°12'27.09"
ABAX0003                 202.6        960.00000       19.40    Use file-vertical      1  N44°39'11.91" W123°12'27.09"
